id_cotizante,cedula,nombre,edad,genero,ciudad,semanasCotizadas,declaraRenta,fondoPensiones,entidadPublica,estadoSolicitud
2,155705,alicia hinojosa,46,M,Pasto,31,false,Colpensiones,Mininterior,Aprobado
3,505904,natividad salazar,47,M,Santa Rosa de Cabal,45,false,Colpensiones,Minsalud,Aprobado
5,938403,samuel martinez,29,M,Cucuta,42,false,Colpensiones,Null,Aprobado
7,802030,roberto gomez,40,M,Leticia,53,true,Proteccion,Policia,Rechazado
8,863223,isidro perez,60,F,Armenia,60,false,Colpensiones,Policia,Aprobado
9,497854,bruno jimenez,55,F,Popayan,54,false,Colpensiones,Policia,Aprobado
10,495658,pablo alvarez,36,F,Quibdo,37,true,Fondo extranjero,Armada,Rechazado
11,164597,mariana pizarro,38,M,Pasto,30,true,Porvenir,Policia,Rechazado
12,471511,zulema leon,54,F,Florencia,21,true,Old Mutual,Inpec,Rechazado
14,887051,samuel vargas,58,M,Cucuta,44,false,Colpensiones,Inpec,Aprobado
16,488510,victor alvarado,46,F,Manizales,32,true,Colpensiones,Inpec,Rechazado
18,986093,luis hernandez,46,M,Cucuta,30,true,Old Mutual,Mininterior,Rechazado
20,128035,eliza rivera,52,M,Arauquita,43,false,Colpensiones,Armada,Aprobado
21,169838,ana garcia,51,M,Bucaramanga,58,false,Colpensiones,Minsalud,Aprobado
23,454365,olivia pinto,30,F,Tunja,55,false,Colpensiones,Policia,Aprobado
24,758149,rami gonzalez,49,F,Armenia,37,false,Colpensiones,Armada,Aprobado
26,124265,ricardo cruz,53,M,Monteria,53,false,Colpensiones,Policia,Aprobado
28,945933,ana delgado,35,M,Tunja,50,true,Fondo extranjero,Null,Rechazado
30,129927,manuel pinto,40,M,Pereira,57,true,Fondo extranjero,Policia,Rechazado
32,730191,bruno hidalgo,40,M,Pereira,49,false,Colpensiones,Armada,Aprobado
33,539378,marcos hidalgo,42,F,Girardot,44,false,Colpensiones,Inpec,Aprobado
34,816748,federico pinto,56,M,Sincelejo,27,false,Colpensiones,Armada,Aprobado
35,278714,fabio sanchez,37,F,Villavicencio,31,false,Colpensiones,Null,Aprobado
36,792200,nicolas cabrera,50,M,Popayan,52,false,Colpensiones,Minsalud,Aprobado
38,173442,natividad ferrer,49,F,Inirida,56,true,Porvenir,Inpec,Rechazado
39,404685,alfonso ferrer,32,F,Medellin,58,false,Colpensiones,Inpec,Aprobado
40,770368,guillermo jimenez,37,M,Pasto,49,false,Colpensiones,Armada,Aprobado
42,414400,claudia garcia,58,M,Arauca,50,false,Colpensiones,Null,Aprobado
43,664309,oscar delgado,48,F,Inirida,33,false,Colpensiones,Mininterior,Aprobado
44,492362,isabel serrano,38,F,Manizales,31,true,Colpensiones,Policia,Rechazado
45,522388,hugo castro,49,F,Soacha,26,false,Colpensiones,Null,Aprobado
46,660867,jorge carrillo,56,M,Pereira,42,false,Colpensiones,Minsalud,Aprobado
