id_cotizante,cedula,nombre,edad,genero,ciudad,semanasCotizadas,declaraRenta,fondoDePensiones,entidadPublica
1,943373,leandro garcia,28,M,Soacha,46,true,Null,Policia
2,155705,alicia hinojosa,46,M,Pasto,31,false,Colpensiones,Mininterior
3,505904,natividad salazar,47,M,Santa Rosa de Cabal,45,false,Proteccion,Minsalud
4,542483,ricardo ramirez,27,M,Santa Marta,27,false,Old Mutual,Minsalud
5,938403,samuel martinez,29,M,Cucuta,42,false,Colfondos,Null
6,240689,jorge gomez,31,F,Sincelejo,50,false,Colpensiones,Mininterior
7,802030,roberto gomez,40,M,Leticia,53,true,Proteccion,Policia
8,863223,isidro perez,60,F,Armenia,60,false,Porvenir,Policia
9,497854,bruno jimenez,55,F,Popayan,54,false,Old Mutual,Policia
10,495658,pablo alvarez,36,F,Quibdo,37,true,Fondo extranjero,Armada
11,164597,mariana pizarro,38,M,Pasto,30,true,Porvenir,Policia
12,471511,zulema leon,54,F,Florencia,21,true,Old Mutual,Inpec
13,291524,olivia quintana,25,M,Santa Rosa de Cabal,36,true,Colpensiones,Mininterior
14,887051,samuel vargas,58,M,Cucuta,44,false,Colfondos,Inpec
15,476237,xavier roa,35,F,Santa Rosa de Cabal,21,false,Fondo extranjero,Policia
16,488510,victor alvarado,46,F,Manizales,32,true,Colpensiones,Inpec
17,970086,julieta jimenez,30,F,Santa Marta,54,true,Colpensiones,Inpec
18,986093,luis hernandez,46,M,Cucuta,30,true,Old Mutual,Mininterior
19,634331,montserrat rojas,28,M,Arauquita,20,true,Colpensiones,Minsalud
20,128035,eliza rivera,52,M,Arauquita,43,false,Old Mutual,Armada
21,169838,ana garcia,51,M,Bucaramanga,58,false,Colpensiones,Minsalud
22,993235,hugo perez,30,F,Monteria,41,true,Colpensiones,Mininterior
23,454365,olivia pinto,30,F,Tunja,55,false,Null,Policia
24,758149,rami gonzalez,49,F,Armenia,37,false,Colfondos,Armada
25,631775,ivonne david,23,M,Neiva,45,false,Old Mutual,Minsalud
26,124265,ricardo cruz,53,M,Monteria,53,false,Proteccion,Policia
27,159596,kevin gonzalez,34,F,Santa Marta,28,false,Porvenir,Minsalud
28,945933,ana delgado,35,M,Tunja,50,true,Fondo extranjero,Null
29,830329,yolanda torres,27,F,Riohacha,29,false,Null,Armada
30,129927,manuel pinto,40,M,Pereira,57,true,Fondo extranjero,Policia
31,372092,tomas sierra,33,M,Santa Marta,35,false,Old Mutual,Minsalud
32,730191,bruno hidalgo,40,M,Pereira,49,false,Fondo extranjero,Armada
33,539378,marcos hidalgo,42,F,Girardot,44,false,Proteccion,Inpec
34,816748,federico pinto,56,M,Sincelejo,27,false,Proteccion,Armada
35,278714,fabio sanchez,37,F,Villavicencio,31,false,Old Mutual,Null
36,792200,nicolas cabrera,50,M,Popayan,52,false,Proteccion,Minsalud
37,892797,barbara david,26,M,Cartagena,43,true,Proteccion,Armada
38,173442,natividad ferrer,49,F,Inirida,56,true,Porvenir,Inpec
39,404685,alfonso ferrer,32,F,Medellin,58,false,Proteccion,Inpec
40,770368,guillermo jimenez,37,M,Pasto,49,false,Proteccion,Armada
41,872518,alexander castro,24,F,Apartado,57,true,Fondo extranjero,Minsalud
42,414400,claudia garcia,58,M,Arauca,50,false,Colpensiones,Null
43,664309,oscar delgado,48,F,Inirida,33,false,Null,Mininterior
44,492362,isabel serrano,38,F,Manizales,31,true,Colpensiones,Policia
45,522388,hugo castro,49,F,Soacha,26,false,Porvenir,Null
46,660867,jorge carrillo,56,M,Pereira,42,false,Fondo extranjero,Minsalud
47,771374,norma quintero,23,M,Cucuta,59,false,Fondo extranjero,Minsalud
48,846463,alexander salazar,32,F,Arauca,51,true,Porvenir,Minsalud
49,876101,humberto romero,38,F,Ibague,51,false,Porvenir,Mininterior
50,875763,gabriel vargas,36,M,Leticia,33,true,Colpensiones,Mininterior
51,263086,daniel santa,56,M,Villavicencio,29,true,Fondo extranjero,Policia
52,722886,dolores torres,27,F,Monteria,60,true,Porvenir,Policia
53,577749,vicente caro,54,F,Tunja,50,true,Old Mutual,Armada
54,260932,david gonzalez,49,M,Bucaramanga,45,true,Fondo extranjero,Minsalud
55,956354,benito sarmiento,56,F,Barranquilla,60,false,Proteccion,Minsalud
56,576399,victor cifuentes,40,F,Ibague,49,true,Porvenir,Minsalud
57,145079,wenceslao rojas,59,M,Neiva,27,false,Porvenir,Inpec
58,388978,hector pardo,55,M,Girardot,23,true,Old Mutual,Inpec
59,693684,josue cruz,34,M,Sincelejo,47,true,Colpensiones,Inpec
60,511570,victor rodriguez,24,F,Pereira,35,true,Porvenir,Armada
61,527577,diana castro,30,F,Cucuta,23,false,Old Mutual,Mininterior
62,447427,pilar rivera,40,F,Valledupar,36,true,Porvenir,Policia
63,214504,gonzalo jimenez,26,F,Quibdo,20,true,Null,Inpec
64,594484,samuel rodrigo,36,F,Santa Rosa de Cabal,25,true,Porvenir,Inpec
65,875940,veronica roberto,51,F,Apartado,47,true,Porvenir,Mininterior
66,221320,jorge gonzalez,44,F,Manizales,41,false,Colfondos,Armada
67,602745,tatiana castillo,45,M,Popayan,51,true,Colpensiones,Inpec
68,767458,zoraida castro,57,F,Santa Rosa de Cabal,45,true,Old Mutual,Mininterior
69,142553,karla garcia,41,M,Cartagena,23,true,Old Mutual,Policia
70,485019,guillermo santa,34,F,Riohacha,38,false,Null,Minsalud
71,500896,karla moreno,46,M,Sincelejo,51,true,Old Mutual,Policia
72,249107,pablo bautista,33,F,Arauca,25,true,Null,Inpec
73,798133,valeria vargas,45,F,Bucaramanga,36,false,Colpensiones,Mininterior
74,565922,oscar gomez,45,F,Pitalito,25,false,Colfondos,Minsalud
75,793613,alexander barrios,22,M,Tunja,43,true,Null,Policia
76,783722,samuel jimenez,29,M,Manizales,27,true,Proteccion,Armada
77,834926,juanita flores,23,M,Pasto,26,true,Fondo extranjero,Inpec
78,659882,graciela quintero,35,M,Pitalito,57,false,Porvenir,Null
79,770508,karina gonzalez,55,F,Manizales,44,true,Fondo extranjero,Null
