id_caracterizacion,cedula,nombre,entidadPublica,condecoraciones,hijosEntidadPublica,familiarPolicia,mayorEdadFamiliarPolicia,observacionesDisciplinarias,tipoInstitucionLegal,sanciones
1,637527,federico jimenez,Minsalud,false,true,true,false,ObservacionInpec,Fiscalia,true
2,912118,alex pineda,Minsalud,false,true,false,true,Null,Fiscalia,false
3,447817,wilfredo torres,Mininterior,true,false,false,false,ObservacionInpec,Contraloria,false
4,771660,nicolas rivera,Null,true,true,false,true,ObservacionInpec,Fiscalia,false
5,986303,zacarias romero,Inpec,false,true,true,true,ObservacionInpec,Contraloria,true
6,577863,gabriel rojas,Null,false,false,true,false,ObservacionMinsalud,Null,true
7,591240,zoe herrera,Inpec,true,true,false,true,Null,Procuraduria,true
8,963403,patricia martinez,Null,false,false,false,true,ObservacionInpec,Fiscalia,false
9,642911,juanita bautista,Policia,false,true,true,false,ObservacionMinsalud,Procuraduria,true
10,434203,guillermo mora,Inpec,false,false,true,false,ObservacionMinsalud,Fiscalia,true
11,954218,silvia reyes,Null,true,false,false,false,ObservacionInpec,Procuraduria,false
12,207826,yasmin fuentes,Armada,true,true,false,false,ObservacionMininterior,Null,false
13,113696,teresa calderon,Armada,true,true,true,true,ObservacionMinsalud,Contraloria,false
14,869043,alexander sarmiento,Minsalud,false,false,true,false,ObservacionInpec,Contraloria,false
15,801463,ursula gil,Mininterior,false,false,false,true,Null,Contraloria,true
16,782901,felipe rodrigo,Minsalud,true,true,true,false,Null,Fiscalia,false
17,876106,robinson castro,Minsalud,true,true,false,true,ObservacionMinsalud,Procuraduria,false
18,458165,claudia guzman,Inpec,true,true,false,true,ObservacionArmada,Null,false
19,956010,yolanda gonzalez,Mininterior,true,true,true,false,ObservacionMinsalud,Fiscalia,false
20,196395,tomas bautista,Null,true,true,true,true,ObservacionInpec,Null,false
21,247992,katerina salazar,Policia,false,false,false,true,ObservacionInpec,Contraloria,false
22,231634,nicolas montero,Inpec,true,true,true,true,ObservacionArmada,Contraloria,true
23,221885,xavier morales,Policia,false,true,false,true,ObservacionMinsalud,Contraloria,false
24,164557,sergio castro,Armada,false,false,true,true,ObservacionArmada,Procuraduria,false
25,668720,helena delgado,Policia,true,true,true,true,ObservacionMinsalud,Procuraduria,true
26,416921,juan flores,Minsalud,false,false,false,false,ObservacionMinsalud,Fiscalia,false
27,985033,tomas gomez,Policia,true,true,true,true,ObservacionMininterior,Procuraduria,true
28,772530,urbano bustos,Inpec,false,false,true,true,ObservacionArmada,Procuraduria,false
29,370392,cristobal pineda,Minsalud,true,true,true,true,ObservacionArmada,Null,false
30,644483,norma romero,Inpec,true,true,false,true,ObservacionMininterior,Contraloria,true
31,529260,marta gonzalez,Armada,false,false,false,false,ObservacionArmada,Procuraduria,true
32,325426,rosa serna,Null,false,true,true,true,ObservacionMininterior,Null,false
33,535660,marta torres,Null,true,false,false,true,ObservacionInpec,Contraloria,false
34,518145,yasmin pardo,Null,true,true,false,true,ObservacionInpec,Procuraduria,true
35,947990,carlos torres,Armada,false,true,false,false,Null,Procuraduria,true
36,555997,beronica alvarez,Inpec,true,false,true,false,ObservacionMinsalud,Procuraduria,true
37,173172,zoraida alvarado,Null,true,true,true,false,ObservacionMininterior,Contraloria,false
38,206446,raul martinez,Armada,true,false,true,false,ObservacionMinsalud,Procuraduria,true
39,925030,felipe pino,Armada,true,false,false,false,ObservacionInpec,Null,true
40,430879,elsa ramirez,Inpec,false,false,false,false,ObservacionInpec,Procuraduria,false
41,986267,nicolas bautista,Armada,false,false,true,true,ObservacionInpec,Procuraduria,false
42,356150,oscar castillo,Policia,true,true,false,false,ObservacionInpec,Procuraduria,false
43,736759,dolores rodriguez,Policia,true,true,true,false,ObservacionInpec,Fiscalia,true
44,535546,alexander alvarez,Minsalud,false,false,true,true,ObservacionArmada,Procuraduria,false
45,109218,esteban montoya,Null,true,false,true,false,ObservacionInpec,Fiscalia,false
46,839048,angela reyes,Null,false,true,false,false,Null,Null,true
47,749664,alicia roberto,Policia,false,true,false,true,ObservacionArmada,Contraloria,true
48,770311,noel castillo,Mininterior,false,false,true,false,ObservacionMininterior,Procuraduria,true
49,933979,karla alvarado,Armada,false,true,true,true,ObservacionMinsalud,Null,false
50,914054,oscar pardo,Mininterior,true,true,true,false,ObservacionInpec,Procuraduria,true
51,624991,federico vazquez,Mininterior,false,false,true,false,ObservacionInpec,Null,false
52,997042,nadia pineda,Inpec,true,false,true,true,ObservacionArmada,Procuraduria,true
53,765402,leonardo perez,Inpec,false,true,true,false,ObservacionMinsalud,Null,true
54,257998,josue garcia,Armada,true,true,true,false,ObservacionMininterior,Contraloria,true
55,949214,miriam cruz,Minsalud,true,true,false,false,ObservacionArmada,Fiscalia,false
56,272633,wenceslao lopez,Armada,false,false,true,true,ObservacionMinsalud,Procuraduria,false
57,948845,roberto reyes,Minsalud,true,true,true,false,ObservacionMinsalud,Contraloria,true
58,269069,walter cabrera,Minsalud,false,true,true,false,ObservacionArmada,Fiscalia,false
59,218358,barbara roa,Armada,false,true,false,true,Null,Fiscalia,false
60,665737,carmen calderon,Minsalud,false,true,false,true,ObservacionMinsalud,Procuraduria,false
61,522292,ursula martinez,Armada,true,false,false,true,ObservacionInpec,Null,false
62,734600,olga pineda,Policia,true,false,true,true,ObservacionInpec,Null,true
63,945401,alexander torres,Policia,true,false,false,true,ObservacionMinsalud,Contraloria,true
64,184892,gabriel martinez,Policia,true,false,true,true,ObservacionInpec,Null,false
65,121972,roberto garcia,Armada,false,false,true,false,ObservacionMinsalud,Null,false
66,925391,felicia salazar,Armada,false,true,false,true,ObservacionMinsalud,Procuraduria,true
67,514133,yolanda sarmiento,Policia,false,false,false,true,ObservacionMinsalud,Null,false
68,431546,wilson alvarado,Mininterior,true,false,false,false,Null,Contraloria,false
69,288429,urbano quintero,Policia,true,false,true,true,Null,Null,true
70,973383,daniel jimenez,Mininterior,false,false,false,false,ObservacionInpec,Fiscalia,false
71,485628,vicente perez,Mininterior,true,true,false,false,ObservacionMininterior,Contraloria,false
72,626547,violeta ramirez,Inpec,false,true,true,false,ObservacionMinsalud,Fiscalia,false
73,716756,hugo lopez,Null,true,true,false,false,ObservacionArmada,Procuraduria,true
74,231322,luisana calderon,Mininterior,true,true,false,true,ObservacionArmada,Procuraduria,true
75,496328,walter delgado,Null,false,true,false,true,ObservacionMinsalud,Null,false
76,145534,elsa gomez,Null,false,false,true,false,ObservacionMinsalud,Procuraduria,false
77,837731,ximena mendoza,Inpec,false,true,false,false,ObservacionMinsalud,Procuraduria,false
78,870886,karla delgado,Armada,false,true,false,false,Null,Contraloria,true
79,685795,fabiola gomez,Mininterior,false,false,false,false,ObservacionMininterior,Null,true
80,655449,walter guzman,Null,false,false,true,false,ObservacionArmada,Null,false
81,157812,valeria sanchez,Armada,false,true,false,false,ObservacionMininterior,Null,false
82,443783,luis jimenez,Armada,true,true,false,false,ObservacionMinsalud,Contraloria,true
83,506796,kike rodrigo,Inpec,true,false,false,false,ObservacionInpec,Procuraduria,false
84,229796,gonzalo reyes,Inpec,true,true,false,false,ObservacionInpec,Fiscalia,true
85,659413,carmen medina,Policia,true,false,true,false,ObservacionInpec,Null,true
86,250250,pablo marquez,Mininterior,false,true,true,false,ObservacionMininterior,Procuraduria,false
87,155516,lucia fuentes,Inpec,true,true,false,true,ObservacionArmada,Contraloria,true
88,751460,carmen ramirez,Null,true,true,false,true,ObservacionMininterior,Null,false
89,596381,ursula alvarez,Policia,true,false,false,true,Null,Contraloria,false
90,808952,tatiana quintero,Inpec,false,false,false,true,ObservacionMinsalud,Procuraduria,true
91,137839,elsa flores,Inpec,true,true,false,true,ObservacionMininterior,Fiscalia,true
92,302105,zulema sarmiento,Armada,true,false,true,true,ObservacionInpec,Null,true
93,986853,teresa moreno,Mininterior,true,true,true,true,ObservacionMinsalud,Contraloria,false
94,639332,isabela rodriguez,Null,true,true,false,false,ObservacionInpec,Null,false
95,490310,isabela juarez,Policia,true,false,true,true,ObservacionInpec,Contraloria,true
96,145476,kevin ramirez,Policia,true,true,true,false,ObservacionMininterior,Null,false
97,162394,hector hernandez,Policia,true,false,false,false,Null,Contraloria,true
98,545530,raul alvarado,Minsalud,false,true,false,false,Null,Procuraduria,false
99,936307,hugo mora,Mininterior,true,false,true,false,ObservacionMininterior,Fiscalia,true
100,438784,zoraida cruz,Policia,true,false,true,true,ObservacionArmada,Procuraduria,true
101,542294,gloria romero,Null,true,true,true,false,ObservacionArmada,Procuraduria,false
102,172685,kevin morales,Policia,false,true,true,false,ObservacionInpec,Procuraduria,true
103,714134,kike gomez,Armada,true,false,true,false,Null,Null,true
104,172195,alfonso marin,Minsalud,true,true,false,false,ObservacionInpec,Fiscalia,false
105,479574,vicente david,Minsalud,false,true,true,true,ObservacionArmada,Fiscalia,true
106,417539,isabela pico,Minsalud,true,false,false,false,ObservacionMininterior,Fiscalia,true
107,510539,ursula delgado,Minsalud,false,true,false,false,ObservacionMininterior,Fiscalia,false
108,982553,david reyes,Inpec,true,false,true,true,ObservacionArmada,Contraloria,true
109,113711,nadia rodrigo,Inpec,true,true,false,true,ObservacionArmada,Null,true
110,790823,daniela castillo,Null,true,false,false,false,ObservacionMinsalud,Null,true
111,391501,bianca quiroz,Minsalud,true,false,false,false,Null,Fiscalia,true
