id_cotizante,cedula,nombre,edad,genero,ciudad,semanasCotizadas,declaraRenta,fondoPensiones,entidadPublica,estadoSolicitud
113,364527,yolanda moreno,20,F,Pereira,47,false,Colpensiones,Inpec,Aprobado
192,982138,luis serna,20,M,Pitalito,20,false,Colpensiones,Minsalud,Aprobado
113,364527,yolanda moreno,20,F,Pereira,47,false,Colpensiones,Inpec,Aprobado
1200,508462,julieta montoya,20,M,Pitalito,23,false,Colpensiones,Null,Aprobado
192,982138,luis serna,20,M,Pitalito,20,false,Colpensiones,Minsalud,Aprobado
206,513445,noel gomez,20,F,Valledupar,56,false,Colpensiones,Minsalud,Aprobado
121,142282,sergio delgado,20,M,Sincelejo,41,false,Colpensiones,Minsalud,Aprobado
2179,682232,roberto gonzalez,20,F,Arauquita,55,false,Colpensiones,Minsalud,Aprobado
1239,440725,juan morales,20,M,Manizales,38,false,Colpensiones,Mininterior,Aprobado
667,871347,natividad pinto,20,M,Pitalito,37,false,Colpensiones,Minsalud,Aprobado
1593,858960,sergio silva,20,M,Monteria,48,false,Colpensiones,Mininterior,Aprobado
1628,388958,jorge ron,20,M,Santa Rosa de Cabal,35,false,Colpensiones,Minsalud,Aprobado
206,513445,noel gomez,20,F,Valledupar,56,false,Colpensiones,Minsalud,Aprobado
121,142282,sergio delgado,20,M,Sincelejo,41,false,Colpensiones,Minsalud,Aprobado
503,920432,alexander alfaro,20,M,Cartagena,45,false,Colpensiones,Armada,Aprobado
2179,682232,roberto gonzalez,20,F,Arauquita,55,false,Colpensiones,Minsalud,Aprobado
4570,266966,xavier mendoza,20,F,Chia,29,false,Colpensiones,Minsalud,Aprobado
1239,440725,juan morales,20,M,Manizales,38,false,Colpensiones,Mininterior,Aprobado
1330,993929,gerardo pineda,20,M,Apartado,47,false,Colpensiones,Armada,Aprobado
667,871347,natividad pinto,20,M,Pitalito,37,false,Colpensiones,Minsalud,Aprobado
1422,651561,gabriela cifuentes,20,M,Bucaramanga,31,false,Colpensiones,Mininterior,Aprobado
2952,396132,montserrat garcia,20,F,Cartagena,40,false,Colpensiones,Minsalud,Aprobado
1593,858960,sergio silva,20,M,Monteria,48,false,Colpensiones,Mininterior,Aprobado
1628,388958,jorge ron,20,M,Santa Rosa de Cabal,35,false,Colpensiones,Minsalud,Aprobado
1671,371528,pablo garcia,20,M,Pitalito,38,false,Colpensiones,Armada,Aprobado
210,300601,samuel soto,20,F,Manizales,40,false,Colpensiones,Mininterior,Aprobado
3575,536712,federico carrillo,20,F,Quibdo,56,false,Colpensiones,Policia,Aprobado
1914,131372,gema reyes,20,M,Soacha,53,false,Colpensiones,Inpec,Aprobado
1012,720360,benito gomez,20,M,Medellin,37,false,Colpensiones,Policia,Aprobado
503,920432,alexander alfaro,20,M,Cartagena,45,false,Colpensiones,Armada,Aprobado
8340,265861,karla perez,20,M,Inirida,34,false,Colpensiones,Inpec,Aprobado
4278,633651,pablo santa,20,F,Ibague,50,false,Colpensiones,Armada,Aprobado
4396,826431,cesar hinojosa,20,M,Apartado,40,false,Colpensiones,Armada,Aprobado
4570,266966,xavier mendoza,20,F,Chia,29,false,Colpensiones,Minsalud,Aprobado
4662,332543,zulema alvarado,20,F,Girardot,52,false,Colpensiones,Inpec,Aprobado
4824,695955,leandro castro,20,M,Medellin,48,false,Colpensiones,Null,Aprobado
1274,712925,zoe jimenez,20,F,Soacha,57,false,Colpensiones,Inpec,Aprobado
5114,314476,zulema alfaro,20,M,Pitalito,21,false,Colpensiones,Policia,Aprobado
1330,993929,gerardo pineda,20,M,Apartado,47,false,Colpensiones,Armada,Aprobado
2695,760746,teresa montoya,20,M,Ibague,60,false,Colpensiones,Inpec,Aprobado
1398,561056,carlos hinojosa,20,M,Leticia,46,false,Colpensiones,Null,Aprobado
1422,651561,gabriela cifuentes,20,M,Bucaramanga,31,false,Colpensiones,Mininterior,Aprobado
1443,408997,ursula ruiz,20,M,Florencia,51,false,Colpensiones,Inpec,Aprobado
2952,396132,montserrat garcia,20,F,Cartagena,40,false,Colpensiones,Minsalud,Aprobado
3064,870695,elias silva,20,M,Apartado,24,false,Colpensiones,Mininterior,Aprobado
6239,984661,alexander ruiz,20,F,Girardot,49,false,Colpensiones,Mininterior,Aprobado
3164,949864,leonardo pino,20,M,Manizales,45,false,Colpensiones,Policia,Aprobado
402,478439,emilio gonzalez,21,M,Villavicencio,28,false,Colpensiones,Armada,Aprobado
1666,494831,raul bernal,20,F,Valledupar,28,false,Colpensiones,Minsalud,Aprobado
1671,371528,pablo garcia,20,M,Pitalito,38,false,Colpensiones,Armada,Aprobado
6867,433826,emilio ruiz,20,M,Pitalito,42,false,Colpensiones,Armada,Aprobado
1751,798383,emilio rojas,20,M,Yopal,38,false,Colpensiones,Inpec,Aprobado
210,300601,samuel soto,20,F,Manizales,40,false,Colpensiones,Mininterior,Aprobado
3575,536712,federico carrillo,20,F,Quibdo,56,false,Colpensiones,Policia,Aprobado
3680,818774,yolanda montero,20,M,Apartado,42,false,Colpensiones,Inpec,Aprobado
1914,131372,gema reyes,20,M,Soacha,53,false,Colpensiones,Inpec,Aprobado
7688,632538,hugo salas,20,F,Medellin,30,false,Colpensiones,Mininterior,Aprobado
3854,650008,blanca david,20,M,Riohacha,26,false,Colpensiones,Policia,Aprobado
3963,418031,federico bautista,20,F,Riohacha,54,false,Colpensiones,Inpec,Aprobado
3986,993485,manuel garcia,20,F,Apartado,43,false,Colpensiones,Policia,Aprobado
4047,985309,benjaman roberto,20,F,Popayan,23,false,Colpensiones,Armada,Aprobado
